,datetime,amount,merchant,location,currency,card_type,card_exp_date,response_code,flagged_as_fraud,previous_transactions,source,device,mcc_group
17,2022-11-08 20:57:13,907.46,Brar LLC,Hyderabad,INR,MasterCard,2027-12-01,Accepted,False,2,In-Person,Desktop,Professional services and membership organizations
18,2023-04-02 10:46:13,3347.31,Bhatnagar-Sodhi,Vijayawada,INR,MasterCard,2031-02-01,Declined,True,2,In-Person,Desktop,Government services
19,2022-05-17 17:20:40,4014.63,"Butala, Saraf and Banik",Cuttack,INR,MasterCard,2026-03-01,Declined,False,2,In-Person,Tablet,Unknown
20,2023-05-30 06:03:16,2971.68,Bawa Ltd,Haldia,USD,MasterCard,2024-01-01,Declined,False,0,In-Person,Tablet,Retail outlet services
21,2023-08-26 20:52:13,754.33,"Gera, Dora and Dara",Malda,INR,Visa,2030-08-01,Invalid,False,0,Online,Mobile,Contracted services
22,2020-07-17 20:10:12,73.77,"Verma, Issac and Kapadia",Bidar,USD,MasterCard,2029-12-01,Accepted,True,3,Online,Tablet,Transportation services
23,2023-05-31 23:20:36,3006.39,Acharya-Kashyap,Kurnool,INR,American Express,2026-10-01,Accepted,False,0,In-Person,Mobile,Agricultural services
24,2023-10-08 10:03:28,840.62,Bhargava-Mangat,Meerut,EUR,MasterCard,2028-12-01,Invalid,False,0,In-Person,Desktop,Government services
25,2021-09-12 22:28:26,4666.18,"Kothari, Dhillon and Sandhu",Dharmavaram,USD,Visa,2030-01-01,Declined,False,1,Online,Mobile,Utility services
26,2022-07-06 19:24:31,2921.57,Sankaran-Sandal,Khammam,INR,Visa,2030-07-01,Invalid,True,2,In-Person,Tablet,Unknown
27,2020-11-08 09:53:02,4326.69,Venkataraman-Dhar,Erode,USD,MasterCard,2029-07-01,Accepted,True,3,Online,Desktop,Contracted services
28,2023-05-02 00:09:44,1448.31,"Swamy, Chawla and Boase",Bareilly,USD,American Express,2027-04-01,Declined,True,3,In-Person,Mobile,Miscellaneous stores
29,2023-01-24 14:45:11,2480.39,Grover Inc,Kavali,EUR,Visa,2026-10-01,Invalid,True,2,In-Person,Mobile,Professional services and membership organizations
30,2021-06-16 16:51:37,923.31,Seshadri LLC,Jehanabad,INR,MasterCard,2027-01-01,Accepted,False,1,In-Person,Mobile,Contracted services
31,2022-08-22 19:30:40,2613.96,Ramanathan-Bera,Hyderabad,INR,American Express,2025-02-01,Declined,False,2,Online,Tablet,Miscellaneous stores
32,2020-02-21 04:44:43,4525.17,Jha-Maharaj,Madanapalle,USD,American Express,2030-08-01,Accepted,False,2,Online,Desktop,Government services
33,2020-04-19 16:54:35,4469.12,Baral-Zachariah,Indore,INR,MasterCard,2029-06-01,Invalid,True,3,Online,Mobile,Contracted services
34,2020-10-03 02:13:51,380.84,Jain PLC,Mahbubnagar,USD,MasterCard,2026-10-01,Invalid,False,1,Online,Mobile,Professional services and membership organizations
35,2022-06-08 12:21:31,1052.74,Bedi-Bhat,Muzaffarnagar,EUR,American Express,2031-01-01,Accepted,False,0,In-Person,Mobile,Contracted services
36,2021-12-14 02:22:11,3633.43,Sodhi-Agrawal,Malda,EUR,American Express,2031-04-01,Declined,True,3,Online,Tablet,Professional services and membership organizations
37,2020-03-26 13:47:26,120.89,Iyengar-Garde,Secunderabad,EUR,American Express,2029-05-01,Invalid,True,0,Online,Mobile,Contracted services
38,2023-05-29 11:03:55,869.66,Batra and Sons,Jalgaon,EUR,MasterCard,2026-11-01,Invalid,True,1,In-Person,Mobile,Agricultural services
39,2022-03-31 14:10:25,846.89,Thakur-Trivedi,Bongaigaon,USD,American Express,2025-06-01,Invalid,True,3,In-Person,Mobile,Unknown
40,2022-12-27 09:35:58,4432.28,"Divan, Cheema and Dugar",Jehanabad,INR,Visa,2024-10-01,Accepted,True,0,In-Person,Desktop,Contracted services
41,2020-06-01 21:41:24,4801.36,Soman LLC,Jalna,EUR,Visa,2031-10-01,Invalid,True,0,Online,Mobile,Contracted services
42,2022-12-11 01:32:52,441.26,Jayaraman-Butala,Gopalpur,EUR,MasterCard,2032-06-01,Invalid,False,3,Online,Mobile,Contracted services
43,2020-09-25 11:47:59,1021.92,"Reddy, Ghose and Deshmukh",Vellore,USD,Visa,2030-08-01,Declined,False,3,Online,Mobile,Miscellaneous stores
44,2021-01-21 09:03:26,2074.03,Varghese Inc,Sirsa,USD,Visa,2030-08-01,Declined,True,3,In-Person,Tablet,Contracted services
45,2023-01-23 12:19:51,1352.51,Sridhar Inc,Latur,INR,Visa,2031-05-01,Invalid,True,3,Online,Tablet,Business services
46,2021-03-11 10:58:39,87.11,Basu and Sons,Begusarai,INR,American Express,2028-01-01,Accepted,True,0,Online,Mobile,Business services
47,2022-02-22 13:28:50,268.18,Vasa-Agate,Vadodara,USD,American Express,2029-10-01,Accepted,False,3,Online,Tablet,Miscellaneous stores
48,2020-02-23 01:11:10,2058.95,Ratti-Bhatti,Faridabad,INR,Visa,2033-06-01,Declined,True,2,In-Person,Mobile,Unknown
49,2023-02-15 23:05:41,3436.84,"Bassi, Bora and Master",Jabalpur,EUR,American Express,2033-08-01,Declined,True,0,Online,Desktop,Government services
50,2023-03-12 22:43:39,531.41,Issac-Sane,Fatehpur,EUR,MasterCard,2028-08-01,Accepted,True,3,In-Person,Tablet,Professional services and membership organizations
51,2021-07-21 18:54:00,350.56,"Deshpande, Sachdeva and Master",Saharsa,EUR,MasterCard,2028-01-01,Invalid,False,1,In-Person,Mobile,Agricultural services
52,2020-07-04 11:38:54,1594.56,Sankar-Soni,Bahraich,USD,MasterCard,2028-03-01,Accepted,False,1,Online,Desktop,Unknown
53,2020-07-22 03:34:30,1842.12,Mammen-Chokshi,Panvel,EUR,Visa,2031-05-01,Accepted,False,0,Online,Tablet,Miscellaneous stores
54,2020-09-13 22:11:31,230.1,Mand Ltd,Ichalkaranji,INR,American Express,2025-06-01,Declined,True,1,In-Person,Mobile,Miscellaneous stores
55,2023-01-02 23:07:49,3752.75,Gopal-Yadav,Anantapuram,INR,American Express,2031-05-01,Accepted,False,1,In-Person,Tablet,Retail outlet services
56,2022-08-08 04:08:06,1043.52,Ray and Sons,Mangalore,EUR,American Express,2033-01-01,Declined,False,3,Online,Mobile,Utility services
57,2021-10-03 05:11:16,454.21,Tailor LLC,South Dumdum,EUR,Visa,2032-02-01,Declined,True,1,Online,Mobile,Professional services and membership organizations
58,2021-04-18 05:25:42,916.68,Sane-Seshadri,Farrukhabad,EUR,Visa,2027-08-01,Accepted,False,3,In-Person,Tablet,Government services
59,2021-03-07 14:21:25,2873.36,"Ratta, Bakshi and Uppal",Bangalore,INR,American Express,2033-08-01,Declined,True,1,In-Person,Mobile,Government services
60,2020-01-08 00:54:19,3583.7,Chakraborty Group,Tinsukia,INR,Visa,2023-12-01,Declined,False,3,In-Person,Tablet,Miscellaneous stores
61,2023-03-09 19:32:57,4058.43,Dara Inc,Bareilly,USD,American Express,2029-03-01,Declined,True,0,In-Person,Desktop,Business services
62,2022-05-18 11:05:36,506.34,"Srinivas, Thakur and Swaminathan",Allahabad,INR,MasterCard,2024-12-01,Invalid,False,1,In-Person,Mobile,Unknown
63,2020-02-15 15:22:13,4993.49,"Raja, Bhat and Chander",Barasat,EUR,Visa,2026-05-01,Declined,True,0,Online,Mobile,Retail outlet services
64,2021-08-29 05:14:03,2640.91,Goyal-Arya,Bahraich,USD,Visa,2026-04-01,Accepted,True,0,Online,Mobile,Retail outlet services
65,2021-06-14 20:34:28,2811.24,Dube Ltd,Kharagpur,INR,Visa,2030-09-01,Accepted,False,3,In-Person,Tablet,Professional services and membership organizations
66,2020-12-30 13:57:12,1869.35,"Tiwari, Mall and Rattan",Tirupati,INR,Visa,2033-01-01,Accepted,False,0,In-Person,Tablet,Government services
67,2020-10-13 22:20:02,194.52,Kalita Inc,Amravati,INR,Visa,2031-08-01,Declined,True,3,In-Person,Mobile,Miscellaneous stores
68,2020-08-14 08:11:53,2641.12,"Bhakta, Ganguly and Raju",Ambattur,USD,Visa,2028-05-01,Declined,True,2,In-Person,Mobile,Unknown
69,2022-11-16 11:10:25,2880.76,Bajwa Inc,Sasaram,INR,MasterCard,2025-06-01,Invalid,False,0,Online,Tablet,Retail outlet services
70,2022-11-14 17:56:00,3464.75,Grewal PLC,Raiganj,EUR,Visa,2027-11-01,Accepted,True,1,Online,Tablet,Professional services and membership organizations
71,2022-04-16 00:52:05,4102.82,"Kumer, Roy and Dutt",Chapra,USD,American Express,2026-08-01,Invalid,True,0,In-Person,Mobile,Professional services and membership organizations
72,2023-06-25 11:07:54,4875.85,"Dugar, Kari and Dar",Karaikudi,USD,Visa,2032-04-01,Declined,True,3,Online,Tablet,Retail outlet services
73,2021-06-05 16:32:37,4788.09,Chad Inc,Ranchi,USD,Visa,2029-10-01,Invalid,True,2,In-Person,Tablet,Miscellaneous stores
74,2021-12-22 23:18:35,3407.84,Kuruvilla PLC,Navi Mumbai,USD,MasterCard,2031-02-01,Invalid,False,2,Online,Tablet,Contracted services
75,2022-10-25 14:28:16,300.66,"Anand, Raval and Ahluwalia",Tiruvottiyur,EUR,American Express,2024-11-01,Accepted,False,3,In-Person,Tablet,Agricultural services
76,2023-04-24 02:33:01,1081.58,Chana Group,Ahmedabad,INR,Visa,2024-07-01,Invalid,False,0,In-Person,Tablet,Miscellaneous stores
77,2023-01-10 21:22:21,3254.81,Yogi-Swaminathan,Patiala,EUR,Visa,2025-01-01,Invalid,True,0,In-Person,Tablet,Unknown
78,2023-01-01 12:59:51,1755.95,Sagar-Kota,Mysore,INR,Visa,2031-10-01,Accepted,True,0,Online,Mobile,Unknown
79,2023-03-25 02:44:40,1456.46,Balakrishnan Inc,Kollam,INR,MasterCard,2025-07-01,Invalid,False,1,In-Person,Mobile,Transportation services
80,2022-08-02 08:07:12,1385.76,Kaur and Sons,Bijapur,EUR,MasterCard,2027-01-01,Invalid,True,3,In-Person,Mobile,Unknown
81,2021-11-21 21:46:34,3594.84,Vaidya LLC,Gandhidham,USD,Visa,2025-05-01,Declined,True,2,In-Person,Desktop,Retail outlet services
82,2022-02-10 20:31:29,3155.88,"Setty, Karpe and Vig",Dharmavaram,EUR,American Express,2032-05-01,Invalid,False,2,In-Person,Tablet,Miscellaneous stores
83,2022-06-08 23:34:59,164.07,Lad and Sons,Bathinda,USD,Visa,2026-08-01,Accepted,True,2,In-Person,Desktop,Unknown
84,2021-10-22 17:04:31,4165.48,Trivedi Ltd,Lucknow,EUR,MasterCard,2032-11-01,Declined,True,2,In-Person,Tablet,Unknown
85,2023-04-22 16:54:58,2823.91,Kant Inc,Pune,EUR,MasterCard,2029-08-01,Invalid,False,3,In-Person,Mobile,Government services
86,2022-01-23 04:42:57,1338.86,Rama-Sawhney,Ongole,INR,MasterCard,2024-12-01,Declined,False,3,In-Person,Mobile,Professional services and membership organizations
87,2023-07-10 03:39:39,3721.86,"Balakrishnan, Kohli and Kata",Anantapur,INR,Visa,2027-11-01,Invalid,True,1,In-Person,Tablet,Professional services and membership organizations
88,2022-10-30 11:43:18,4146.54,Golla Ltd,Bareilly,USD,American Express,2027-11-01,Accepted,False,3,In-Person,Mobile,Professional services and membership organizations
89,2023-03-31 05:41:58,2515.53,Shenoy PLC,Tezpur,EUR,MasterCard,2026-06-01,Invalid,False,0,Online,Mobile,Contracted services
90,2022-08-02 00:47:58,4088.07,"Sem, Bhatia and Kala",Muzaffarpur,USD,American Express,2029-08-01,Accepted,True,0,In-Person,Mobile,Contracted services
91,2023-08-04 04:04:10,113.91,Goyal Group,Noida,INR,MasterCard,2032-11-01,Accepted,True,3,In-Person,Mobile,Miscellaneous stores
92,2022-01-20 11:10:10,3663.65,Ray-Tak,Sambalpur,USD,Visa,2029-08-01,Declined,False,2,Online,Tablet,Unknown
93,2020-01-24 17:25:52,482.29,Kibe-Golla,Tumkur,USD,Visa,2027-06-01,Declined,True,0,Online,Desktop,Transportation services
94,2021-07-26 12:47:38,1310.13,Majumdar-Yogi,Bangalore,EUR,American Express,2025-01-01,Accepted,True,2,Online,Desktop,Professional services and membership organizations
95,2020-04-08 23:56:59,2303.18,Sanghvi Ltd,Anand,EUR,MasterCard,2029-03-01,Accepted,True,2,In-Person,Mobile,Miscellaneous stores
96,2021-02-04 21:36:12,3414.18,"Gola, Amble and Choudhary",Tiruvottiyur,EUR,American Express,2028-02-01,Declined,False,3,Online,Desktop,Contracted services
97,2023-03-12 04:49:03,959.45,Date PLC,Jammu,INR,American Express,2027-05-01,Invalid,True,3,In-Person,Tablet,Agricultural services
98,2020-04-07 04:49:24,4484.69,D’Alia-Dhingra,Thanjavur,EUR,Visa,2032-04-01,Accepted,False,1,Online,Tablet,Miscellaneous stores
99,2023-08-27 07:23:03,459.39,Borah Ltd,Miryalaguda,INR,MasterCard,2027-04-01,Invalid,True,3,Online,Tablet,Transportation services
100,2023-06-06 17:28:00,405.03,"Vohra, Rajagopalan and Dewan",Thrissur,EUR,MasterCard,2025-07-01,Accepted,True,3,Online,Mobile,Unknown
101,2020-05-09 12:57:41,4549.77,"Shanker, Chopra and Kata",Karimnagar,INR,American Express,2025-12-01,Invalid,True,0,Online,Desktop,Unknown
102,2021-07-12 08:30:32,2104.79,"Bhandari, Ramakrishnan and Dora",Akola,USD,MasterCard,2027-12-01,Declined,False,0,Online,Mobile,Contracted services
103,2020-06-27 21:36:54,1758.14,Jain and Sons,Pondicherry,INR,MasterCard,2033-07-01,Invalid,True,1,In-Person,Mobile,Contracted services
104,2020-05-20 17:20:37,2861.4,"Bala, Korpal and Cheema",Nanded,USD,American Express,2032-09-01,Invalid,False,3,Online,Desktop,Transportation services
105,2023-08-10 18:04:54,4259.91,Badami-Sekhon,Karawal Nagar,EUR,MasterCard,2028-05-01,Invalid,False,3,Online,Desktop,Contracted services
106,2023-08-13 23:46:30,4954.71,Mani-Mand,Pudukkottai,INR,MasterCard,2033-09-01,Declined,False,3,Online,Tablet,Contracted services
107,2021-06-16 06:55:18,770.14,"Ramachandran, Keer and Chandran",Satna,EUR,Visa,2031-02-01,Declined,False,0,Online,Desktop,Unknown
108,2023-04-26 14:36:25,374.72,"Rege, Buch and Gandhi",Chittoor,INR,MasterCard,2029-11-01,Declined,True,2,In-Person,Mobile,Miscellaneous stores
109,2021-02-07 08:16:33,3105.95,Kade-Balay,Agartala,INR,MasterCard,2030-11-01,Invalid,False,0,In-Person,Tablet,Business services
110,2023-01-04 18:44:09,4565.66,"Bhargava, Sahota and Dave",Secunderabad,INR,American Express,2029-04-01,Accepted,True,1,In-Person,Tablet,Contracted services
111,2022-10-22 07:02:28,1230.56,Saraf-Balay,Jalna,INR,American Express,2024-02-01,Declined,False,3,Online,Desktop,Contracted services
112,2022-12-15 14:48:29,2660.6,Saxena and Sons,Jamshedpur,EUR,MasterCard,2032-03-01,Accepted,False,1,In-Person,Tablet,Transportation services
113,2022-01-25 17:43:08,2050.24,Gera PLC,Dewas,USD,Visa,2031-05-01,Declined,False,2,Online,Mobile,Utility services
114,2023-06-26 12:44:22,780.15,Comar Group,Dehradun,INR,Visa,2024-02-01,Accepted,False,2,Online,Desktop,Business services
115,2023-09-22 02:03:05,4650.63,"Thakur, Mahal and Wagle",Dehri,EUR,Visa,2024-02-01,Declined,False,2,Online,Desktop,Transportation services
116,2020-02-06 04:52:10,4288.98,"Sengupta, Mane and Chhabra",Siwan,EUR,American Express,2028-01-01,Declined,False,0,Online,Tablet,Utility services
117,2022-08-27 16:51:43,2500.59,Sathe-Bala,Ludhiana,INR,American Express,2033-06-01,Declined,False,1,Online,Tablet,Clothing stores
118,2021-06-04 14:13:43,4697.86,Dar Group,Hindupur,USD,Visa,2028-08-01,Declined,False,3,In-Person,Tablet,Unknown
119,2022-08-11 20:57:07,57.79,Dube Inc,Ahmedabad,EUR,American Express,2026-12-01,Accepted,True,3,Online,Mobile,Retail outlet services
120,2020-10-12 10:17:16,2361.35,Biswas-Lalla,Jammu,USD,MasterCard,2025-01-01,Declined,False,2,In-Person,Desktop,Contracted services
121,2020-10-26 02:45:55,4036.39,"Brar, Wagle and Saini",Bhalswa Jahangir Pur,EUR,Visa,2026-06-01,Invalid,False,2,Online,Tablet,Agricultural services
122,2021-06-07 22:23:13,3559.53,"Singh, Malhotra and Acharya",Bareilly,USD,Visa,2033-10-01,Declined,True,0,Online,Mobile,Miscellaneous stores
123,2020-09-05 08:25:18,4946.62,Magar Group,Bathinda,EUR,Visa,2032-02-01,Accepted,False,1,In-Person,Desktop,Unknown
124,2023-04-24 07:04:34,4396.24,Korpal LLC,Medininagar,USD,Visa,2032-01-01,Invalid,True,2,Online,Mobile,Retail outlet services
125,2020-08-19 10:21:08,1579.23,"Virk, Wason and Dixit",Tirupati,USD,Visa,2031-01-01,Accepted,True,0,Online,Desktop,Retail outlet services
126,2021-10-05 15:46:17,1401.82,Virk Group,Khammam,INR,MasterCard,2028-05-01,Invalid,False,0,In-Person,Mobile,Contracted services
127,2022-11-11 01:33:28,3442.08,Sabharwal-Varughese,Darbhanga,EUR,Visa,2031-08-01,Declined,False,2,In-Person,Tablet,Unknown
128,2023-07-05 17:16:15,2222.49,Balasubramanian Ltd,Agra,USD,MasterCard,2025-12-01,Declined,True,0,Online,Mobile,Utility services
129,2023-03-07 17:40:04,3421.9,Keer-Chacko,Serampore,USD,Visa,2025-04-01,Accepted,True,3,Online,Mobile,Retail outlet services
130,2023-01-13 03:36:45,4228.11,Dube-Garg,Ghaziabad,USD,Visa,2032-02-01,Invalid,False,0,In-Person,Tablet,Miscellaneous stores
131,2023-07-21 11:52:25,3906.68,"Dara, Sampath and Buch",Aurangabad,INR,Visa,2030-09-01,Invalid,True,1,Online,Mobile,Utility services
132,2021-12-26 22:15:57,923.72,"Bera, Chaudhari and Dash",Srinagar,INR,MasterCard,2033-05-01,Accepted,False,1,Online,Tablet,Government services
133,2023-08-13 08:05:29,4196.15,Jain PLC,Khammam,EUR,MasterCard,2033-09-01,Declined,False,3,Online,Mobile,Business services
134,2022-04-07 12:03:59,3027.63,Anne Inc,Anantapuram,EUR,American Express,2030-05-01,Declined,True,1,In-Person,Desktop,Business services
135,2021-03-30 22:01:41,2876.61,Lad LLC,Faridabad,EUR,American Express,2028-11-01,Declined,False,2,Online,Tablet,Retail outlet services
136,2020-04-19 12:53:47,134.22,Sunder-Kota,Mahbubnagar,USD,American Express,2026-12-01,Declined,False,3,Online,Desktop,Retail outlet services
137,2021-03-01 10:30:55,4894.87,Sane Ltd,Sambhal,USD,MasterCard,2024-03-01,Invalid,False,2,In-Person,Mobile,Unknown
138,2023-03-07 00:43:48,2349.24,Deshpande-Sule,Thiruvananthapuram,INR,Visa,2029-10-01,Accepted,False,3,In-Person,Tablet,Business services
139,2020-10-31 04:10:48,3416.2,"Sarkar, Contractor and Sankar",Durgapur,INR,MasterCard,2033-03-01,Invalid,True,2,Online,Desktop,Retail outlet services
140,2021-01-23 14:01:36,4666.44,Johal-Viswanathan,Firozabad,INR,American Express,2033-04-01,Accepted,False,1,In-Person,Mobile,Agricultural services
141,2021-07-23 13:01:32,1312.95,Bhatt-Sathe,Chinsurah,USD,MasterCard,2030-03-01,Accepted,True,0,In-Person,Desktop,Professional services and membership organizations
142,2020-05-22 10:46:05,2407.15,Chakrabarti and Sons,Saharsa,USD,American Express,2032-02-01,Declined,False,3,In-Person,Desktop,Retail outlet services
143,2021-07-20 08:01:34,3773.92,Rama Inc,Udaipur,EUR,MasterCard,2030-09-01,Accepted,True,3,In-Person,Desktop,Contracted services
144,2020-03-30 18:02:17,4100.48,"Saraf, Karan and Ramaswamy",Ahmednagar,INR,American Express,2029-05-01,Declined,False,2,In-Person,Tablet,Contracted services
145,2021-10-26 09:16:09,4185.67,Sethi PLC,Meerut,USD,American Express,2029-05-01,Accepted,False,3,In-Person,Tablet,Miscellaneous stores
146,2020-02-20 12:23:44,4616.75,Kannan-Bhagat,Panipat,USD,American Express,2030-08-01,Declined,True,1,Online,Desktop,Miscellaneous stores
147,2023-09-16 19:00:16,1447.42,"Malhotra, Randhawa and Sandhu",Madurai,EUR,American Express,2032-08-01,Accepted,True,3,In-Person,Desktop,Miscellaneous stores
148,2020-03-10 14:50:23,2804.38,Kunda-Samra,Chandigarh,USD,Visa,2027-07-01,Accepted,False,2,In-Person,Mobile,Contracted services
149,2022-09-17 07:29:38,1318.95,"Chaudhuri, Srinivas and Khare",Solapur,EUR,American Express,2025-05-01,Declined,True,3,In-Person,Desktop,Government services
150,2022-10-25 11:48:02,3994.91,Mani Ltd,Nangloi Jat,USD,MasterCard,2024-06-01,Declined,True,2,Online,Tablet,Retail outlet services
151,2022-11-30 06:05:45,4872.77,"Devi, Sastry and Wable",Haridwar,USD,Visa,2032-02-01,Declined,False,0,In-Person,Desktop,Government services
152,2020-08-04 23:38:37,3814.73,Swaminathan-Grewal,Kolhapur,INR,MasterCard,2023-10-01,Accepted,False,2,In-Person,Mobile,Business services
153,2022-02-17 10:24:29,1744.56,Lall-Date,Morena,INR,American Express,2026-03-01,Accepted,True,1,Online,Tablet,Contracted services
154,2020-04-18 10:53:52,4284.39,Wagle LLC,Karimnagar,USD,MasterCard,2030-09-01,Declined,False,3,In-Person,Desktop,Unknown
155,2020-08-20 07:52:02,4930.57,Shere PLC,Sri Ganganagar,EUR,Visa,2028-10-01,Invalid,True,2,In-Person,Desktop,Professional services and membership organizations
156,2023-03-31 18:29:59,3119.48,Chowdhury-Ghosh,Aurangabad,INR,MasterCard,2026-12-01,Accepted,True,0,Online,Desktop,Miscellaneous stores
157,2021-12-29 07:04:14,79.71,Arya PLC,Mysore,EUR,American Express,2031-07-01,Declined,True,0,In-Person,Mobile,Miscellaneous stores
158,2022-11-05 12:41:03,2841.49,"Gara, Bhattacharyya and Kapur",Nandyal,USD,Visa,2025-04-01,Invalid,False,1,Online,Desktop,Government services
159,2021-06-17 14:58:12,158.85,Bandi-Savant,Ballia,EUR,Visa,2028-08-01,Invalid,False,2,In-Person,Desktop,Business services
160,2020-05-21 16:36:08,329.65,Kapoor-Venkatesh,Udupi,USD,MasterCard,2030-08-01,Invalid,True,3,In-Person,Tablet,Contracted services
161,2023-01-20 05:21:22,4765.7,"Sachar, Dube and Goda",Kharagpur,INR,Visa,2033-05-01,Accepted,False,2,In-Person,Tablet,Contracted services
162,2023-04-05 02:49:07,3060.05,Halder Ltd,Hubli–Dharwad,EUR,MasterCard,2029-11-01,Accepted,False,3,In-Person,Mobile,Contracted services
163,2021-02-21 15:53:24,409.12,Sagar and Sons,Bettiah,INR,American Express,2023-11-01,Accepted,True,1,Online,Mobile,Government services
164,2020-02-16 12:06:47,2626.16,Mall-Char,Bokaro,EUR,Visa,2029-11-01,Declined,False,2,In-Person,Mobile,Miscellaneous stores
165,2021-11-16 19:58:52,761.04,"Som, Hari and Sankar",Bareilly,INR,Visa,2023-12-01,Declined,True,1,In-Person,Mobile,Transportation services
166,2022-04-20 13:58:10,4576.97,"Lala, Khalsa and Gaba",Dehri,INR,American Express,2027-10-01,Accepted,False,0,In-Person,Tablet,Contracted services
167,2022-10-30 15:34:10,4911.28,Balakrishnan Inc,Bidar,INR,MasterCard,2030-06-01,Accepted,True,2,In-Person,Mobile,Miscellaneous stores
168,2023-04-04 14:19:49,839.98,Banik Group,Karnal,EUR,MasterCard,2031-10-01,Accepted,False,0,Online,Desktop,Miscellaneous stores
169,2020-05-03 19:07:58,316.69,"Raman, Subramanian and Arya",Firozabad,USD,Visa,2025-11-01,Declined,True,1,Online,Desktop,Government services
170,2021-04-13 13:11:43,1808.56,Korpal-Dhawan,Srikakulam,EUR,MasterCard,2032-04-01,Invalid,True,2,Online,Desktop,Unknown
171,2022-11-24 14:57:59,193.03,"Sahota, Dutta and Mani",Hospet,INR,Visa,2026-03-01,Invalid,True,1,Online,Tablet,Contracted services
172,2022-09-18 23:41:08,4985.57,"Sen, Sen and Loke",Alappuzha,EUR,American Express,2026-11-01,Declined,False,1,In-Person,Mobile,Business services
173,2023-01-08 21:20:59,3072.82,Majumdar-Contractor,Sambhal,INR,American Express,2024-06-01,Accepted,True,0,Online,Desktop,Contracted services
174,2021-09-26 03:58:05,2211.87,"Chaudry, Sha and Kapur",Bangalore,EUR,MasterCard,2031-12-01,Invalid,True,3,In-Person,Mobile,Business services
175,2021-04-28 14:01:50,4650.87,Gour-Upadhyay,Nandyal,EUR,American Express,2025-06-01,Accepted,True,1,Online,Desktop,Contracted services
176,2023-06-16 18:07:41,1289.37,Khalsa-Raja,Khora ,USD,American Express,2026-12-01,Declined,True,2,In-Person,Mobile,Retail outlet services
177,2023-01-24 00:17:54,396.19,Krishnamurthy LLC,Tiruchirappalli,INR,American Express,2028-03-01,Accepted,True,1,In-Person,Desktop,Retail outlet services
178,2023-09-03 03:28:34,3629.67,Choudhary-Kara,Kavali,USD,MasterCard,2030-06-01,Declined,True,0,In-Person,Desktop,Retail outlet services
179,2022-03-13 22:19:41,1508.18,"Gaba, Venkataraman and Wadhwa",Malegaon,EUR,MasterCard,2024-08-01,Invalid,True,1,Online,Mobile,Contracted services
