,datetime,amount,merchant,mcc,location,currency,card_type,card_exp_date,response_code,flagged_as_fraud,previous_transactions,source,device
56,2022-08-08 04:08:06,1043.52,Ray and Sons,4931,Mangalore,EUR,American Express,01/33,12,0,3 or more,Online,Mobile
57,2021-10-03 05:11:16,454.21,Tailor LLC,8373,South Dumdum,EUR,Visa,02/32,12,1,1,Online,Mobile
58,2021-04-18 05:25:42,916.68,Sane-Seshadri,9420,Farrukhabad,EUR,Visa,08/27,0,0,3 or more,In-Person,Tablet
59,2021-03-07 14:21:25,2873.36,"Ratta, Bakshi and Uppal",9303,Bangalore,INR,American Express,08/33,12,1,1,In-Person,Mobile
60,2020-01-08 00:54:19,3583.7,Chakraborty Group,6935,Tinsukia,INR,Visa,12/23,12,0,3 or more,In-Person,Tablet
61,2023-03-09 19:32:57,4058.43,Dara Inc,7695,Bareilly,USD,American Express,03/29,12,1,,In-Person,Desktop
62,2022-05-18 11:05:36,506.34,"Srinivas, Thakur and Swaminathan",3729,Allahabad,INR,MasterCard,12/24,5,0,1,In-Person,Mobile
63,2020-02-15 15:22:13,4993.49,"Raja, Bhat and Chander",5307,Barasat,EUR,Visa,05/26,12,1,,Online,Mobile
64,2021-08-29 05:14:03,2640.91,Goyal-Arya,5000,Bahraich,USD,Visa,04/26,0,1,,Online,Mobile
65,2021-06-14 20:34:28,2811.24,Dube Ltd,8161,Kharagpur,INR,Visa,09/30,0,0,3 or more,In-Person,Tablet
66,2020-12-30 13:57:12,1869.35,"Tiwari, Mall and Rattan",9545,Tirupati,INR,Visa,01/33,0,0,,In-Person,Tablet
67,2020-10-13 22:20:02,194.52,Kalita Inc,6816,Amravati,INR,Visa,08/31,12,1,3 or more,In-Person,Mobile
68,2020-08-14 08:11:53,2641.12,"Bhakta, Ganguly and Raju",3533,Ambattur,USD,Visa,05/28,12,1,2,In-Person,Mobile
69,2022-11-16 11:10:25,2880.76,Bajwa Inc,5238,Sasaram,INR,MasterCard,06/25,5,0,,Online,Tablet
70,2022-11-14 17:56:00,3464.75,Grewal PLC,8953,Raiganj,EUR,Visa,11/27,0,1,1,Online,Tablet
71,2022-04-16 00:52:05,4102.82,"Kumer, Roy and Dutt",8007,Chapra,USD,American Express,08/26,5,1,,In-Person,Mobile
72,2023-06-25 11:07:54,4875.85,"Dugar, Kari and Dar",5347,Karaikudi,USD,Visa,04/32,12,1,3 or more,Online,Tablet
73,2021-06-05 16:32:37,4788.09,Chad Inc,6641,Ranchi,USD,Visa,10/29,5,1,2,In-Person,Tablet
74,2021-12-22 23:18:35,3407.84,Kuruvilla PLC,1899,Navi Mumbai,USD,MasterCard,02/31,5,0,2,Online,Tablet
75,2022-10-25 14:28:16,300.66,"Anand, Raval and Ahluwalia",1240,Tiruvottiyur,EUR,American Express,11/24,0,0,3 or more,In-Person,Tablet
76,2023-04-24 02:33:01,1081.58,Chana Group,6113,Ahmedabad,INR,Visa,07/24,5,0,,In-Person,Tablet
77,2023-01-10 21:22:21,3254.81,Yogi-Swaminathan,3058,Patiala,EUR,Visa,01/25,5,1,,In-Person,Tablet
78,2023-01-01 12:59:51,1755.95,Sagar-Kota,3385,Mysore,INR,Visa,10/31,0,1,,Online,Mobile
79,2023-03-25 02:44:40,1456.46,Balakrishnan Inc,4097,Kollam,INR,MasterCard,07/25,5,0,1,In-Person,Mobile
80,2022-08-02 08:07:12,1385.76,Kaur and Sons,3865,Bijapur,EUR,MasterCard,01/27,5,1,3 or more,In-Person,Mobile
81,2021-11-21 21:46:34,3594.84,Vaidya LLC,5109,Gandhidham,USD,Visa,05/25,12,1,2,In-Person,Desktop
82,2022-02-10 20:31:29,3155.88,"Setty, Karpe and Vig",6765,Dharmavaram,EUR,American Express,05/32,5,0,2,In-Person,Tablet
83,2022-06-08 23:34:59,164.07,Lad and Sons,3446,Bathinda,USD,Visa,08/26,0,1,2,In-Person,Desktop
84,2021-10-22 17:04:31,4165.48,Trivedi Ltd,3044,Lucknow,EUR,MasterCard,11/32,12,1,2,In-Person,Tablet
85,2023-04-22 16:54:58,2823.91,Kant Inc,9857,Pune,EUR,MasterCard,08/29,5,0,3 or more,In-Person,Mobile
86,2022-01-23 04:42:57,1338.86,Rama-Sawhney,8926,Ongole,INR,MasterCard,12/24,12,0,3 or more,In-Person,Mobile
87,2023-07-10 03:39:39,3721.86,"Balakrishnan, Kohli and Kata",8844,Anantapur,INR,Visa,11/27,5,1,1,In-Person,Tablet
88,2022-10-30 11:43:18,4146.54,Golla Ltd,8041,Bareilly,USD,American Express,11/27,0,0,3 or more,In-Person,Mobile
89,2023-03-31 05:41:58,2515.53,Shenoy PLC,2703,Tezpur,EUR,MasterCard,06/26,5,0,,Online,Mobile
90,2022-08-02 00:47:58,4088.07,"Sem, Bhatia and Kala",2206,Muzaffarpur,USD,American Express,08/29,0,1,,In-Person,Mobile
91,2023-08-04 04:04:10,113.91,Goyal Group,6622,Noida,INR,MasterCard,11/32,0,1,3 or more,In-Person,Mobile
92,2022-01-20 11:10:10,3663.65,Ray-Tak,3755,Sambalpur,USD,Visa,08/29,12,0,2,Online,Tablet
93,2020-01-24 17:25:52,482.29,Kibe-Golla,4739,Tumkur,USD,Visa,06/27,12,1,,Online,Desktop
94,2021-07-26 12:47:38,1310.13,Majumdar-Yogi,8680,Bangalore,EUR,American Express,01/25,0,1,2,Online,Desktop
95,2020-04-08 23:56:59,2303.18,Sanghvi Ltd,7096,Anand,EUR,MasterCard,03/29,0,1,2,In-Person,Mobile
96,2021-02-04 21:36:12,3414.18,"Gola, Amble and Choudhary",2057,Tiruvottiyur,EUR,American Express,02/28,12,0,3 or more,Online,Desktop
97,2023-03-12 04:49:03,959.45,Date PLC,1272,Jammu,INR,American Express,05/27,5,1,3 or more,In-Person,Tablet
98,2020-04-07 04:49:24,4484.69,D’Alia-Dhingra,6957,Thanjavur,EUR,Visa,04/32,0,0,1,Online,Tablet
99,2023-08-27 07:23:03,459.39,Borah Ltd,4103,Miryalaguda,INR,MasterCard,04/27,5,1,3 or more,Online,Tablet
100,2023-06-06 17:28:00,405.03,"Vohra, Rajagopalan and Dewan",3852,Thrissur,EUR,MasterCard,07/25,0,1,3 or more,Online,Mobile
101,2020-05-09 12:57:41,4549.77,"Shanker, Chopra and Kata",3582,Karimnagar,INR,American Express,12/25,5,1,,Online,Desktop
102,2021-07-12 08:30:32,2104.79,"Bhandari, Ramakrishnan and Dora",1988,Akola,USD,MasterCard,12/27,12,0,,Online,Mobile
103,2020-06-27 21:36:54,1758.14,Jain and Sons,2818,Pondicherry,INR,MasterCard,07/33,5,1,1,In-Person,Mobile
104,2020-05-20 17:20:37,2861.4,"Bala, Korpal and Cheema",4422,Nanded,USD,American Express,09/32,5,0,3 or more,Online,Desktop
105,2023-08-10 18:04:54,4259.91,Badami-Sekhon,1826,Karawal Nagar,EUR,MasterCard,05/28,5,0,3 or more,Online,Desktop
106,2023-08-13 23:46:30,4954.71,Mani-Mand,1739,Pudukkottai,INR,MasterCard,09/33,12,0,3 or more,Online,Tablet
107,2021-06-16 06:55:18,770.14,"Ramachandran, Keer and Chandran",3020,Satna,EUR,Visa,02/31,12,0,,Online,Desktop
108,2023-04-26 14:36:25,374.72,"Rege, Buch and Gandhi",6644,Chittoor,INR,MasterCard,11/29,12,1,2,In-Person,Mobile
109,2021-02-07 08:16:33,3105.95,Kade-Balay,7323,Agartala,INR,MasterCard,11/30,5,0,,In-Person,Tablet
110,2023-01-04 18:44:09,4565.66,"Bhargava, Sahota and Dave",2452,Secunderabad,INR,American Express,04/29,0,1,1,In-Person,Tablet
111,2022-10-22 07:02:28,1230.56,Saraf-Balay,1625,Jalna,INR,American Express,02/24,12,0,3 or more,Online,Desktop
112,2022-12-15 14:48:29,2660.6,Saxena and Sons,4007,Jamshedpur,EUR,MasterCard,03/32,0,0,1,In-Person,Tablet
113,2022-01-25 17:43:08,2050.24,Gera PLC,4823,Dewas,USD,Visa,05/31,12,0,2,Online,Mobile
114,2023-06-26 12:44:22,780.15,Comar Group,7820,Dehradun,INR,Visa,02/24,0,0,2,Online,Desktop
115,2023-09-22 02:03:05,4650.63,"Thakur, Mahal and Wagle",4597,Dehri,EUR,Visa,02/24,12,0,2,Online,Desktop
116,2020-02-06 04:52:10,4288.98,"Sengupta, Mane and Chhabra",4861,Siwan,EUR,American Express,01/28,12,0,,Online,Tablet
117,2022-08-27 16:51:43,2500.59,Sathe-Bala,5608,Ludhiana,INR,American Express,06/33,12,0,1,Online,Tablet
118,2021-06-04 14:13:43,4697.86,Dar Group,3586,Hindupur,USD,Visa,08/28,12,0,3 or more,In-Person,Tablet
119,2022-08-11 20:57:07,57.79,Dube Inc,5247,Ahmedabad,EUR,American Express,12/26,0,1,3 or more,Online,Mobile
120,2020-10-12 10:17:16,2361.35,Biswas-Lalla,1898,Jammu,USD,MasterCard,01/25,12,0,2,In-Person,Desktop
121,2020-10-26 02:45:55,4036.39,"Brar, Wagle and Saini",1407,Bhalswa Jahangir Pur,EUR,Visa,06/26,5,0,2,Online,Tablet
122,2021-06-07 22:23:13,3559.53,"Singh, Malhotra and Acharya",7235,Bareilly,USD,Visa,10/33,12,1,,Online,Mobile
123,2020-09-05 08:25:18,4946.62,Magar Group,3263,Bathinda,EUR,Visa,02/32,0,0,1,In-Person,Desktop
124,2023-04-24 07:04:34,4396.24,Korpal LLC,5169,Medininagar,USD,Visa,01/32,5,1,2,Online,Mobile
125,2020-08-19 10:21:08,1579.23,"Virk, Wason and Dixit",5207,Tirupati,USD,Visa,01/31,0,1,,Online,Desktop
126,2021-10-05 15:46:17,1401.82,Virk Group,1524,Khammam,INR,MasterCard,05/28,5,0,,In-Person,Mobile
127,2022-11-11 01:33:28,3442.08,Sabharwal-Varughese,3743,Darbhanga,EUR,Visa,08/31,12,0,2,In-Person,Tablet
128,2023-07-05 17:16:15,2222.49,Balasubramanian Ltd,4908,Agra,USD,MasterCard,12/25,12,1,,Online,Mobile
129,2023-03-07 17:40:04,3421.9,Keer-Chacko,5264,Serampore,USD,Visa,04/25,0,1,3 or more,Online,Mobile
130,2023-01-13 03:36:45,4228.11,Dube-Garg,6862,Ghaziabad,USD,Visa,02/32,5,0,,In-Person,Tablet
131,2023-07-21 11:52:25,3906.68,"Dara, Sampath and Buch",4874,Aurangabad,INR,Visa,09/30,5,1,1,Online,Mobile
132,2021-12-26 22:15:57,923.72,"Bera, Chaudhari and Dash",9751,Srinagar,INR,MasterCard,05/33,0,0,1,Online,Tablet
133,2023-08-13 08:05:29,4196.15,Jain PLC,7809,Khammam,EUR,MasterCard,09/33,12,0,3 or more,Online,Mobile
134,2022-04-07 12:03:59,3027.63,Anne Inc,7303,Anantapuram,EUR,American Express,05/30,12,1,1,In-Person,Desktop
135,2021-03-30 22:01:41,2876.61,Lad LLC,5231,Faridabad,EUR,American Express,11/28,12,0,2,Online,Tablet
136,2020-04-19 12:53:47,134.22,Sunder-Kota,5315,Mahbubnagar,USD,American Express,12/26,12,0,3 or more,Online,Desktop
137,2021-03-01 10:30:55,4894.87,Sane Ltd,3905,Sambhal,USD,MasterCard,03/24,5,0,2,In-Person,Mobile
138,2023-03-07 00:43:48,2349.24,Deshpande-Sule,7505,Thiruvananthapuram,INR,Visa,10/29,0,0,3 or more,In-Person,Tablet
139,2020-10-31 04:10:48,3416.2,"Sarkar, Contractor and Sankar",5216,Durgapur,INR,MasterCard,03/33,5,1,2,Online,Desktop
140,2021-01-23 14:01:36,4666.44,Johal-Viswanathan,1064,Firozabad,INR,American Express,04/33,0,0,1,In-Person,Mobile
141,2021-07-23 13:01:32,1312.95,Bhatt-Sathe,8978,Chinsurah,USD,MasterCard,03/30,0,1,,In-Person,Desktop
142,2020-05-22 10:46:05,2407.15,Chakrabarti and Sons,5097,Saharsa,USD,American Express,02/32,12,0,3 or more,In-Person,Desktop
143,2021-07-20 08:01:34,3773.92,Rama Inc,2886,Udaipur,EUR,MasterCard,09/30,0,1,3 or more,In-Person,Desktop
144,2020-03-30 18:02:17,4100.48,"Saraf, Karan and Ramaswamy",1932,Ahmednagar,INR,American Express,05/29,12,0,2,In-Person,Tablet
145,2021-10-26 09:16:09,4185.67,Sethi PLC,6379,Meerut,USD,American Express,05/29,0,0,3 or more,In-Person,Tablet
146,2020-02-20 12:23:44,4616.75,Kannan-Bhagat,6331,Panipat,USD,American Express,08/30,12,1,1,Online,Desktop
147,2023-09-16 19:00:16,1447.42,"Malhotra, Randhawa and Sandhu",6945,Madurai,EUR,American Express,08/32,0,1,3 or more,In-Person,Desktop
148,2020-03-10 14:50:23,2804.38,Kunda-Samra,2008,Chandigarh,USD,Visa,07/27,0,0,2,In-Person,Mobile
149,2022-09-17 07:29:38,1318.95,"Chaudhuri, Srinivas and Khare",9206,Solapur,EUR,American Express,05/25,12,1,3 or more,In-Person,Desktop
150,2022-10-25 11:48:02,3994.91,Mani Ltd,5379,Nangloi Jat,USD,MasterCard,06/24,12,1,2,Online,Tablet
151,2022-11-30 06:05:45,4872.77,"Devi, Sastry and Wable",9460,Haridwar,USD,Visa,02/32,12,0,,In-Person,Desktop
152,2020-08-04 23:38:37,3814.73,Swaminathan-Grewal,7854,Kolhapur,INR,MasterCard,10/23,0,0,2,In-Person,Mobile
153,2022-02-17 10:24:29,1744.56,Lall-Date,2316,Morena,INR,American Express,03/26,0,1,1,Online,Tablet
154,2020-04-18 10:53:52,4284.39,Wagle LLC,3707,Karimnagar,USD,MasterCard,09/30,12,0,3 or more,In-Person,Desktop
155,2020-08-20 07:52:02,4930.57,Shere PLC,8748,Sri Ganganagar,EUR,Visa,10/28,5,1,2,In-Person,Desktop
156,2023-03-31 18:29:59,3119.48,Chowdhury-Ghosh,5724,Aurangabad,INR,MasterCard,12/26,0,1,,Online,Desktop
157,2021-12-29 07:04:14,79.71,Arya PLC,6791,Mysore,EUR,American Express,07/31,12,1,,In-Person,Mobile
158,2022-11-05 12:41:03,2841.49,"Gara, Bhattacharyya and Kapur",9488,Nandyal,USD,Visa,04/25,5,0,1,Online,Desktop
159,2021-06-17 14:58:12,158.85,Bandi-Savant,7550,Ballia,EUR,Visa,08/28,5,0,2,In-Person,Desktop
160,2020-05-21 16:36:08,329.65,Kapoor-Venkatesh,2594,Udupi,USD,MasterCard,08/30,5,1,3 or more,In-Person,Tablet
161,2023-01-20 05:21:22,4765.7,"Sachar, Dube and Goda",2470,Kharagpur,INR,Visa,05/33,0,0,2,In-Person,Tablet
162,2023-04-05 02:49:07,3060.05,Halder Ltd,2814,Hubli–Dharwad,EUR,MasterCard,11/29,0,0,3 or more,In-Person,Mobile
163,2021-02-21 15:53:24,409.12,Sagar and Sons,9453,Bettiah,INR,American Express,11/23,0,1,1,Online,Mobile
164,2020-02-16 12:06:47,2626.16,Mall-Char,6568,Bokaro,EUR,Visa,11/29,12,0,2,In-Person,Mobile
165,2021-11-16 19:58:52,761.04,"Som, Hari and Sankar",4550,Bareilly,INR,Visa,12/23,12,1,1,In-Person,Mobile
166,2022-04-20 13:58:10,4576.97,"Lala, Khalsa and Gaba",2781,Dehri,INR,American Express,10/27,0,0,,In-Person,Tablet
167,2022-10-30 15:34:10,4911.28,Balakrishnan Inc,6807,Bidar,INR,MasterCard,06/30,0,1,2,In-Person,Mobile
168,2023-04-04 14:19:49,839.98,Banik Group,6137,Karnal,EUR,MasterCard,10/31,0,0,,Online,Desktop
169,2020-05-03 19:07:58,316.69,"Raman, Subramanian and Arya",9611,Firozabad,USD,Visa,11/25,12,1,1,Online,Desktop
170,2021-04-13 13:11:43,1808.56,Korpal-Dhawan,3560,Srikakulam,EUR,MasterCard,04/32,5,1,2,Online,Desktop
171,2022-11-24 14:57:59,193.03,"Sahota, Dutta and Mani",1689,Hospet,INR,Visa,03/26,5,1,1,Online,Tablet
172,2022-09-18 23:41:08,4985.57,"Sen, Sen and Loke",7905,Alappuzha,EUR,American Express,11/26,12,0,1,In-Person,Mobile
173,2023-01-08 21:20:59,3072.82,Majumdar-Contractor,2878,Sambhal,INR,American Express,06/24,0,1,,Online,Desktop
174,2021-09-26 03:58:05,2211.87,"Chaudry, Sha and Kapur",7781,Bangalore,EUR,MasterCard,12/31,5,1,3 or more,In-Person,Mobile
175,2021-04-28 14:01:50,4650.87,Gour-Upadhyay,1814,Nandyal,EUR,American Express,06/25,0,1,1,Online,Desktop
176,2023-06-16 18:07:41,1289.37,Khalsa-Raja,5082,Khora ,USD,American Express,12/26,12,1,2,In-Person,Mobile
177,2023-01-24 00:17:54,396.19,Krishnamurthy LLC,5555,Tiruchirappalli,INR,American Express,03/28,0,1,1,In-Person,Desktop
178,2023-09-03 03:28:34,3629.67,Choudhary-Kara,5328,Kavali,USD,MasterCard,06/30,12,1,,In-Person,Desktop
179,2022-03-13 22:19:41,1508.18,"Gaba, Venkataraman and Wadhwa",2898,Malegaon,EUR,MasterCard,08/24,5,1,1,Online,Mobile
180,2022-11-22 18:20:58,4288.78,"Singhal, Rajagopalan and Krishna",8444,Munger,USD,MasterCard,07/32,5,1,,In-Person,Desktop
181,2023-05-09 18:08:30,3830.63,Kibe LLC,2813,Hapur,EUR,American Express,08/33,12,0,1,In-Person,Tablet
182,2023-03-08 06:34:10,753.86,"Reddy, Bail and Datta",1829,Rohtak,USD,MasterCard,11/30,0,0,,In-Person,Desktop
183,2023-09-12 09:49:35,1454.48,Bera-Bora,2644,Kolkata,USD,Visa,03/25,5,1,3 or more,In-Person,Tablet
184,2023-08-17 15:56:10,801.82,Bahl-Ganguly,5530,Pune,USD,Visa,08/27,0,1,3 or more,Online,Desktop
185,2023-07-09 09:06:39,4645.6,"Bhatia, Vig and Solanki",8651,Serampore,INR,American Express,09/32,12,0,1,In-Person,Desktop
186,2020-01-16 10:09:14,236.27,Koshy-Shah,9728,Thane,EUR,MasterCard,08/26,12,1,3 or more,Online,Tablet
187,2023-08-22 04:07:02,2200.69,Balasubramanian-Gokhale,9079,Patiala,USD,MasterCard,09/33,12,1,1,In-Person,Desktop
188,2021-04-15 08:20:56,1334.67,"Golla, Badal and Comar",7763,Kollam,USD,MasterCard,05/26,12,0,,In-Person,Desktop
189,2020-04-13 23:34:47,3049.15,Badal-Babu,3370,Guna,USD,American Express,09/29,12,1,3 or more,Online,Tablet
190,2020-06-09 16:27:14,3603.95,Kunda-Bhardwaj,6745,Gangtok,EUR,American Express,03/30,5,1,1,Online,Desktop
191,2021-06-10 15:54:06,3618.44,Grover Inc,1349,Junagadh,EUR,MasterCard,06/33,0,0,,Online,Tablet
192,2021-02-11 18:01:49,4541.45,"Bawa, Barman and Som",6549,Kadapa,EUR,Visa,10/26,12,0,,Online,Tablet
193,2022-10-21 19:34:55,3737.84,Setty-Gole,4840,Etawah,EUR,Visa,09/29,12,0,,In-Person,Mobile
194,2023-04-09 00:04:03,454.72,"Lanka, Tank and Barad",9641,Vijayanagaram,USD,Visa,04/25,5,1,3 or more,In-Person,Mobile
195,2022-02-25 02:12:17,1793.26,"Ratti, Saha and Wable",6521,Guntakal,INR,American Express,07/32,0,0,2,Online,Mobile
196,2023-08-17 20:46:41,1910.55,"Rout, Johal and Rama",1948,Noida,INR,American Express,12/23,12,0,,In-Person,Tablet
197,2021-01-22 20:10:03,963.63,"Gara, Som and Basak",8770,Bhatpara,USD,American Express,02/28,0,1,2,Online,Desktop
198,2023-04-13 14:48:28,2359.92,"Rama, Dixit and Sankaran",5818,Maheshtala,EUR,American Express,10/25,5,0,1,Online,Desktop
199,2021-03-02 10:31:30,3581.55,Raja and Sons,4324,Berhampur,EUR,American Express,02/33,5,0,3 or more,Online,Tablet
200,2023-08-25 06:17:49,2447.35,Batta Ltd,3146,Kadapa,INR,MasterCard,03/28,5,0,2,In-Person,Desktop
201,2022-01-27 17:59:07,4985.47,"Sani, Varughese and Sunder",9824,Hapur,INR,MasterCard,03/24,5,1,3 or more,Online,Desktop
202,2023-04-17 05:53:04,3023.9,Varughese-Shenoy,5368,Amravati,USD,Visa,04/24,5,0,3 or more,In-Person,Tablet
203,2023-09-26 00:22:38,4783.38,Badami LLC,6917,Adoni,EUR,Visa,11/31,5,1,,In-Person,Mobile
